Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",236.020000,-90.365000,45.000000,top
"C2","0.1uF","C_0402_1005Metric",232.620000,-101.070000,-90.000000,top
"C3","0.1uF","C_0402_1005Metric",225.370000,-96.670000,180.000000,top
"C4","0.1uF","C_0402_1005Metric",226.060000,-91.660000,90.000000,top
"C5","0.1uF","C_0402_1005Metric",234.520000,-90.590000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",231.870000,-87.390000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",232.830000,-86.650000,90.000000,top
"C8","0.1uF","C_0402_1005Metric",235.850000,-92.015000,0.000000,top
"C9","0.1uF","C_0402_1005Metric",236.840000,-96.420000,0.000000,top
"C10","1uF","C_0402_1005Metric",233.660000,-101.080000,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",233.545000,-90.260000,90.000000,top
"C12","0.1uF","C_0402_1005Metric",230.845000,-87.385000,90.000000,top
"C13","10uF","C_0603_1608Metric",227.410000,-74.620000,180.000000,top
"C14","10uF","C_0603_1608Metric",228.420000,-80.390000,180.000000,top
"C15","33pF","C_0402_1005Metric",227.320000,-103.240000,-90.000000,top
"C16","33pF","C_0402_1005Metric",232.745000,-102.940000,90.000000,top
"C17","0.1uF","C_0402_1005Metric",228.470000,-85.790000,180.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",230.820000,-68.440000,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",221.930000,-67.310000,0.000000,top
"J3","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",239.710000,-67.310000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",228.280000,-115.330000,90.000000,top
"R1","5.1K","R_0402_1005Metric",229.470000,-74.830000,-90.000000,top
"R2","5.1K","R_0402_1005Metric",232.210000,-74.760000,-90.000000,top
"R3","27","R_0402_1005Metric",231.495000,-89.930000,-90.000000,top
"R4","27","R_0402_1005Metric",232.545000,-89.930000,-90.000000,top
"R5","1K","R_0402_1005Metric",230.760000,-100.750000,180.000000,top
"R6","1K","R_0402_1005Metric",234.345000,-83.090000,0.000000,top
"R7","10K","R_0402_1005Metric",226.540000,-85.810000,0.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",233.870000,-79.690000,-90.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",230.820000,-95.440000,0.000000,top
"U2","MCP1700x-330xxTT","SOT-23",228.370000,-77.490000,90.000000,top
"U4","W25Q16JVUXIQ TR","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",227.620000,-87.765000,0.000000,top
"Y1","12 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",229.970000,-103.070000,180.000000,top
